"id","rule_id","rule_pattern","action","capture","transformations","score","paranoia_level","severity","category","phase","tags","version","chain_level","parent_rule_id","logdata","msg","enabled","multiMatch"
"","941210","(?i)(?:j|&#(?:0*(?:74|106)|x0*[46]A);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:a|&#(?:0*(?:65|97)|x0*[46]1);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:v|&#(?:0*(?:86|118)|x0*[57]6);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:a|&#(?:0*(?:65|97)|x0*[46]1);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:s|&#(?:0*(?:115|83)|x0*[57]3);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:c|&#(?:x0*[46]3|0*(?:99|67));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:r|&#(?:x0*[57]2|0*(?:114|82));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:i|&#(?:x0*[46]9|0*(?:105|73));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:p|&#(?:x0*[57]0|0*(?:112|80));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:t|&#(?:x0*[57]4|0*(?:116|84));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?::|&(?:#(?:0*58|x0*3A);?|colon;)).","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS JavaScript Detection","1","0"
"","941220","(?i)(?:v|&#(?:0*(?:118|86)|x0*[57]6);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:b|&#(?:0*(?:98|66)|x0*[46]2);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:s|&#(?:0*(?:115|83)|x0*[57]3);)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:c|&#(?:x0*[46]3|0*(?:99|67));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:r|&#(?:x0*[57]2|0*(?:114|82));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:i|&#(?:x0*[46]9|0*(?:105|73));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:p|&#(?:x0*[57]0|0*(?:112|80));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?:t|&#(?:x0*[57]4|0*(?:116|84));)(?:[\t\n\r]|&(?:#(?:0*(?:9|1[03])|x0*[AD]);?|(?:tab|newline);))*(?::|&(?:#(?:0*58|x0*3A);?|colon;)).","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS VBScript Detection","1","0"
"","941230","(?i:<EMBED[\s/+].*?(?:src|type).*?=","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Embed Tag Detection","1","0"
"","941240","<[?]?import[\s/+\S]*?implementation[\s/+]*?=","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,lowercase,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Import Implementation Detection","1","0"
"","941250","(?i:<META[\s/+].*?http-equiv[\s/+]*=[\s/+]*[""`]?(?:(?:c|&#x?0*(?:67|43|99|63);?)|(?:r|&#x?0*(?:82|52|114|72);?)|(?:s|&#x?0*(?:83|53|115|73);?)))","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Meta Tag Detection","1","0"
"","941260","(?i:<META[\s/+].*?charset[\s/+]*=)","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Meta Charset Detection","1","0"
"","941270","(?i:<LINK[\s/+].*?href[\s/+]*=)","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Link Tag Detection","1","0"
"","941280","(?i:<BASE[\s/+].*?href[\s/+]*=)","block","1","none,utf8toUnicode,urlDecodeUni,htmlEntityDecode,jsDecode,cssDecode,removeNulls","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Base Tag Detection","1","0"
"","941310","[\xbc][^\xbe>]*[\xbe>]|[<][^\xbe]*[\xbe]","block","1","none,lowercase,urlDecodeUni,htmlEntityDecode,jsDecode","5","1","CRITICAL","attack-xss","2","REQUEST_COOKIES,REQUEST_COOKIES_NAMES,ARGS_NAMES,ARGS,REQUEST_FILENAME,XML:/*,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","0","0","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Tag Mismatch Detection","1","0"
"","941310-1","(?:[\xbc][\s/]*[^\xbe>]*[\xbe>])|(?:[<][\s/]*[^\xbe]*[\xbe])","block","0","none","5","1","CRITICAL","attack-xss","2","MATCHED_VARS,operator:rx,attack-xss,paranoia-level/1","teckglobal_bfp/1.0.0","1","941310","Matched Data: %{TX.0} found within %{MATCHED_VAR_NAME}: %{MATCHED_VAR}","XSS Tag Mismatch Detection","1","0"
"","941013","2","pass","0","none","0","2","NOTICE","attack-xss","1","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-xss,paranoia-level/2,skipAfter:END-REQUEST-941-APPLICATION-ATTACK-XSS","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 2 Check","1","0"
"","941014","2","pass","0","none","0","2","NOTICE","attack-sqli","2","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-sqli,paranoia-level/2,skipAfter:END-REQUEST-942-APPLICATION-ATTACK-SQLI","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 2 Check","1","0"
"","941015","3","pass","0","none","0","3","NOTICE","attack-sqli","1","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-sqli,paranoia-level/3,skipAfter:END-REQUEST-942-APPLICATION-ATTACK-SQLI","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 3 Check","1","0"
"","941016","3","pass","0","none","0","3","NOTICE","attack-sqli","2","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-sqli,paranoia-level/3,skipAfter:END-REQUEST-942-APPLICATION-ATTACK-SQLI","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 3 Check","1","0"
"","941017","4","pass","0","none","0","4","NOTICE","attack-sqli","1","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-sqli,paranoia-level/4,skipAfter:END-REQUEST-942-APPLICATION-ATTACK-SQLI","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 4 Check","1","0"
"","941018","4","pass","0","none","0","4","NOTICE","attack-sqli","2","TX:DETECTION_PARANOIA_LEVEL,operator:lt,attack-sqli,paranoia-level/4,skipAfter:END-REQUEST-942-APPLICATION-ATTACK-SQLI","teckglobal_bfp/1.0.0","0","0","Paranoia level check","Paranoia Level 4 Check","1","0"
"","END-REQUEST-941-APPLICATION-ATTACK-XSS","","pass","0","none","0","1","NOTICE","exception","2","OWASP_CRS,paranoia-level/1","teckglobal_bfp/1.0.0","0","","Virtual endpoint for skipAfter","End of 941 XSS rules","1","0"
